Batch #,Form Date,Step,Complete,Worker,Worker Date,Inspector,Inspector Date,After 11/9?
6,,Hook & loop adhered to clip,TRUE,JC,1/28/26,,,
6,,Final inspection,TRUE,JC,2/25/26,,,
6,,Bagged,FALSE,,,,,
,,,,,,,,
--- BATCH #7: PXL_20260307_231203619.jpg | Date: n/a | Type: SEW | 12/12 steps complete ---,,,,,,,,
7,,Tubed,TRUE,,,,,
7,,End rounded,TRUE,RF,8/14/25,,,
7,,Rounded end sealed,TRUE,RF,8/20/25,,,
7,,Rounded end sewn,TRUE,MJ,10/22/25,,,
7,,Second cross bar sewn,TRUE,MJ,10/22/25,,,
7,,Backplate riveted,TRUE,SUS & Ba,8/13/25,,,
7,,Windlass & buckle added,TRUE,MJ,8/20,,,n
7,,Buckle sewn,TRUE,MJ,10/22/25,,,
7,,Clip added,TRUE,RF,,,,
7,,Hook & loop adhered to clip,TRUE,RF,,,,
7,,Final inspection,TRUE,MJ,12/20,,,
7,,Bagged,TRUE,MJ,12/20,,,
,,,,,,,,
--- BATCH #8: PXL_20260307_231224472.jpg | Date: 5/10/25 | Type: SEW | 11/12 steps complete ---,,,,,,,,
8,5/10/25,Tubed,TRUE,,,,,
8,5/10/25,End rounded,TRUE,RF,8/14/25,,,
8,5/10/25,Rounded end sealed,TRUE,RF & SKS,8/20/25,,,
8,5/10/25,Rounded end sewn,TRUE,MD,11/5/25,,,
8,5/10/25,Second cross bar sewn,TRUE,MD,11/5/25,,,
8,5/10/25,Backplate riveted,TRUE,SKS,7/30/25,,,
8,5/10/25,Windlass & buckle added,TRUE,RF,7/30/25,,,n
8,5/10/25,Buckle sewn,FALSE,MD,11/27/25,,,
8,5/10/25,Clip added,TRUE,RF,7/30/25,,,
8,5/10/25,Hook & loop adhered to clip,TRUE,RF,8/29/25,,,
8,5/10/25,Final inspection,TRUE,KM,12/10,,,
8,5/10/25,Bagged,TRUE,KM,12/10,,,
,,,,,,,,
--- BATCH #9: PXL_20260307_231236761.jpg | Date: n/a | Type: SEW | 10/12 steps complete ---,,,,,,,,
9,,Tubed,TRUE,JACK,5/3/25,MJ,5/3/25,
9,,End rounded,TRUE,MJ,5/12/25,,,
9,,Rounded end sealed,TRUE,Bey & BO,5/4/25,,,
9,,Rounded end sewn,TRUE,MJ,5/3/25,,,
9,,Second cross bar sewn,TRUE,MJ,5/3/25,,,
9,,Backplate riveted,TRUE,MJ/AB,5/7/25,,,
9,,Windlass & buckle added,TRUE,MJ,5/12/25,,,n
9,,Buckle sewn,TRUE,MJ,5/3/25,,,
9,,Clip added,TRUE,KM,,,,
9,,Hook & loop adhered to clip,TRUE,MJ RC,8/24/25,,,
9,,Final inspection,FALSE,,,,,
9,,Bagged,FALSE,,,,,
,,,,,,,,
--- BATCH #10: PXL_20260307_231249342.jpg | Date: rev 5/10/25 | Type: SEW | 10/12 steps complete ---,,,,,,,,
10,rev 5/10/25,Tubed,TRUE,JK,5/14/25,MJ,5/14/25,
10,rev 5/10/25,End rounded,TRUE,MJ/RF,5/14/25,,,
10,rev 5/10/25,Rounded end sealed,TRUE,RF/BEE,5/14/25,,,
10,rev 5/10/25,Rounded end sewn,TRUE,MD,5/24/25,,,
10,rev 5/10/25,Second cross bar sewn,TRUE,MD,5/24/25,,,
10,rev 5/10/25,Backplate riveted,TRUE,BEE/RF/MJ,5/14/25,,,
10,rev 5/10/25,Windlass & buckle added,TRUE,MD,5/24/25,,,n
10,rev 5/10/25,Buckle sewn,TRUE,MD,5/24/25,,,
10,rev 5/10/25,Clip added,TRUE,Jeff,6/25/25,,,
10,rev 5/10/25,Hook & loop adhered to clip,TRUE,RF,8/27/25,,,
10,rev 5/10/25,Final inspection,FALSE,,,,,
10,rev 5/10/25,Bagged,FALSE,,,,,
,,,,,,,,
--- BATCH #11: PXL_20260307_231305275.jpg | Date: 5/10/25 | Type: SEW | 10/12 steps complete ---,,,,,,,,
11,5/10/25,Tubed,TRUE,JK,5/14/25,MJ,5/14/25,
11,5/10/25,End rounded,TRUE,MJ/RF,5/14/25,,,
11,5/10/25,Rounded end sealed,TRUE,MJ/RF/BEE,5/14/25,,,
11,5/10/25,Rounded end sewn,TRUE,MJ,6/10/25,,,
11,5/10/25,Second cross bar sewn,TRUE,MJ,6/10/25,,,
11,5/10/25,Backplate riveted,TRUE,MJ/AB/JK,5/21/25,,,
11,5/10/25,Windlass & buckle added,TRUE,MJ,6/9/25,,,n
11,5/10/25,Buckle sewn,TRUE,MJ,6/10/25,,,
11,5/10/25,Clip added,TRUE,Jeff,6/25/25,,,
11,5/10/25,Hook & loop adhered to clip,TRUE,RF,8/27/25,,,
11,5/10/25,Final inspection,FALSE,,,,,
11,5/10/25,Bagged,FALSE,,,,,
,,,,,,,,
--- BATCH #12: PXL_20260307_231318582.jpg | Date: n/a | Type: SEW | 10/12 steps complete ---,Lot 1,,,,,,,
12,,Tubed,TRUE,,,,,
12,,End rounded,TRUE,,,,,
12,,Rounded end sealed,TRUE,,,,,
12,,Rounded end sewn,TRUE,,,,,
12,,Second cross bar sewn,TRUE,,,,,
12,,Backplate riveted,TRUE,,,,,
12,,Windlass & buckle added,TRUE,,,,,n
12,,Buckle sewn,TRUE,,,,,
12,,Clip added,TRUE,AB/JcH,25Jun25,,,
12,,Hook & loop adhered to clip,TRUE,RF,8/21/25,,,
12,,Final inspection,FALSE,,,,,
12,,Bagged,FALSE,,,,,
,,,,,,,,
--- BATCH #13: PXL_20260307_231330471.jpg | Date: n/a | Type: SEW | 10/12 steps complete ---,,,,,,,,
13,,Tubed,FALSE,JK,5/19,SKS,5/21,
13,,End rounded,TRUE,RF,5/21,,,
13,,Rounded end sealed,TRUE,RE,5/26,,,
13,,Rounded end sewn,TRUE,MD,6/12,,,
13,,Second cross bar sewn,TRUE,MJP,6/12,,,
13,,Backplate riveted,TRUE,NU+,5/20/25,,,
13,,Windlass & buckle added,TRUE,NU,7/30,,,n
13,,Buckle sewn,TRUE,JK,10/21,,,
13,,Clip added,TRUE,NU,7/30,,,
13,,Hook & loop adhered to clip,TRUE,my,?,,,
13,,Final inspection,TRUE,,,,,
13,,Bagged,FALSE,,,,,
,,,,,,,,
--- BATCH #14: PXL_20260307_231344232.jpg | Date: n/a | Type: SEW | 10/12 steps complete ---,,,,,,,,
14,,Tubed,TRUE,JK,5/5/25,MS/AB,5/5/25,
14,,End rounded,TRUE,MJ,5/12/25,,,
14,,Rounded end sealed,TRUE,"Bee, S, BO",5/14/25,,,
14,,Rounded end sewn,TRUE,MD,5/28,,,
14,,Second cross bar sewn,TRUE,MD,5/28,,,
14,,Backplate riveted,TRUE,MJ/AB,5/7/25,,,
14,,Windlass & buckle added,TRUE,RF,5/14/25,,,n
14,,Buckle sewn,TRUE,MD,5/28,,,
14,,Clip added,TRUE,NU,6/25,,,
14,,Hook & loop adhered to clip,TRUE,JK,7/9/25,,,
14,,Final inspection,FALSE,,,,,
14,,Bagged,FALSE,,,,,
,,,,,,,,
--- BATCH #15: PXL_20260307_231354088.jpg | Date: rev 5/10/25 | Type: ASSEMBLE | 10/12 steps complete ---,,,,,,,,
15,rev 5/10/25,Tubed,TRUE,,,,,
15,rev 5/10/25,End rounded,TRUE,,,,,
15,rev 5/10/25,Rounded end sealed,TRUE,SHS,9/23,,,
15,rev 5/10/25,Rounded end sewn,TRUE,JK,10/9,,,
15,rev 5/10/25,Second cross bar sewn,TRUE,JK,10/9,,,
15,rev 5/10/25,Backplate riveted,TRUE,Bee,9/17,,,
15,rev 5/10/25,Windlass & buckle added,TRUE,Bee,9/17,,,?
15,rev 5/10/25,Buckle sewn,TRUE,JP,10/9,,,
15,rev 5/10/25,Clip added,TRUE,AB,10/15,,,
15,rev 5/10/25,Hook & loop adhered to clip,TRUE,PF,,,,
15,rev 5/10/25,Final inspection,FALSE,,,,,
15,rev 5/10/25,Bagged,FALSE,,,,,
,,,,,,,,
--- BATCH #16: PXL_20260307_231406466.jpg | Date: n/a | Type: SEW | 10/12 steps complete ---,,,,,,,,
16,,Tubed,TRUE,,,,,
16,,End rounded,TRUE,RF,8/4/23,,,
16,,Rounded end sealed,TRUE,AB,8/20/25,,,
16,,Rounded end sewn,TRUE,JK,10/9,,,
16,,Second cross bar sewn,TRUE,JK,10/9,,,
16,,Backplate riveted,TRUE,Bee,9/17,,,
16,,Windlass & buckle added,TRUE,Ree,9/17,,,n
16,,Buckle sewn,TRUE,JK,10/9,,,
16,,Clip added,TRUE,AB,10/15,,,
16,,Hook & loop adhered to clip,TRUE,JK,10/22,,,
16,,Final inspection,FALSE,,,,,
16,,Bagged,FALSE,,,,,
,,,,,,,,
--- BATCH #17: PXL_20260307_231418162.jpg | Date: 5/10/25 | Type: SEW | 11/12 steps complete ---,,,,,,,,
17,5/10/25,Tubed,TRUE,,,,,
17,5/10/25,End rounded,TRUE,MJ,7/30/25,,,
17,5/10/25,Rounded end sealed,TRUE,RF,8/20/25,,,
17,5/10/25,Rounded end sewn,TRUE,JK,10/14,,,
17,5/10/25,Second cross bar sewn,TRUE,JK,10/14,,,
17,5/10/25,Backplate riveted,TRUE,SKS,7/30/25,,,
17,5/10/25,Windlass & buckle added,TRUE,SYS,8/20/25,,,n
17,5/10/25,Buckle sewn,TRUE,JR,8/14,,,
17,5/10/25,Clip added,TRUE,RF,8/20/25,,,
17,5/10/25,Hook & loop adhered to clip,TRUE,,,,,
17,5/10/25,Final inspection,TRUE,Final Inspection 10/24/2025,,ML,,
17,5/10/25,Bagged,FALSE,,,,,
,,,,,,,,
--- BATCH #18: PXL_20260307_231430504.jpg | Date: n/a | Type: n/a | 11/12 steps complete ---,,,,,,,,
18,,Tubed,FALSE,,,,,
18,,End rounded,TRUE,RF,8/14/25,RF,8/5/25,
18,,Rounded end sealed,TRUE,AB,8/20/25,,,
18,,Rounded end sewn,TRUE,JK,10/14,,,
18,,Second cross bar sewn,TRUE,JK,10/14,,,
18,,Backplate riveted,TRUE,SMS & Z,8/5/25,,,
18,,Windlass & buckle added,TRUE,RF,8/20/25,,,n
18,,Buckle sewn,TRUE,JK,10/14,,,
18,,Clip added,TRUE,RF,8/20/25,,,
18,,Hook & loop adhered to clip,TRUE,RF,,,,
18,,Final inspection,TRUE,MJ,11/9,,,
18,,Bagged,TRUE,MJ,11/9,,,
,,,,,,,,
--- BATCH #19: PXL_20260307_231442869.jpg | Date: n/a | Type: SEW | 11/12 steps complete ---,,,,,,,,
19,,Tubed,FALSE,,,,,
19,,End rounded,TRUE,RT,,,7/1/25,
19,,Rounded end sealed,TRUE,RF,,,8/20/25,
19,,Rounded end sewn,TRUE,JK,,,10/21,
19,,Second cross bar sewn,TRUE,JK,,,10/2,
19,,Backplate riveted,TRUE,Za,,,8/5/25,
19,,Windlass & buckle added,TRUE,RF,,,8/5/25,n
19,,Buckle sewn,TRUE,JK,,,8/20/25,
19,,Clip added,TRUE,RK,,,10/21,
19,,Hook & loop adhered to clip,TRUE,RF,,,,
19,,Final inspection,TRUE,Bee,,,11/26,
19,,Bagged,TRUE,Bee,,,11/26,
,,,,,,,,
--- BATCH #20: PXL_20260307_231508271.jpg | Date: n/a | Type: SEW | 10/12 steps complete ---,,,,,,,,
20,,Tubed,TRUE,,,RF,8/6/25,
20,,End rounded,TRUE,RF,8/6/25,,,
20,,Rounded end sealed,TRUE,JWS,9/1/25,,,
20,,Rounded end sewn,TRUE,JK,10/21,,,
20,,Second cross bar sewn,TRUE,JK,10/21,,,
20,,Backplate riveted,TRUE,Bee,9/17,,,
20,,Windlass & buckle added,TRUE,Bee,9/17,,,n
20,,Buckle sewn,TRUE,JK,10/21,,,
20,,Clip added,TRUE,RF,,,,
20,,Hook & loop adhered to clip,TRUE,RF,,,,
20,,Final inspection,FALSE,,,,,
20,,Bagged,FALSE,,,,,
,,,,,,,,
--- BATCH #21: PXL_20260307_231519198.jpg | Date: n/a | Type: SEW | 10/12 steps complete ---,,,,,,,,
21,,Tubed,TRUE,Jack,,,,
21,,End rounded,TRUE,RF,8/14/25,,,
21,,Rounded end sealed,TRUE,MJ,10/29,,,
21,,Rounded end sewn,TRUE,MD,10/30/25,,,
21,,Second cross bar sewn,TRUE,MD,10/30/25,,,
21,,Backplate riveted,TRUE,JK,9/10/25,,,
21,,Windlass & buckle added,TRUE,JK,9/10/25,,,n
21,,Buckle sewn,TRUE,MD,10/28/25,,,
21,,Clip added,TRUE,AB,10-15,,,
21,,Hook & loop adhered to clip,TRUE,RF,,,,
21,,Final inspection,FALSE,,,,,
21,,Bagged,FALSE,,,,,
